Instituto Nacional de Tecnología Industrial	
Rextechnik International Co.,	
POWER COMPUTING CORPORATION	
EAGLE TECHNOLOGY	
INFORSON Co,Ltd.	
PROVIDEO Multimedia Co. Ltd.	
CLINICOMP INTL.	
Cathay Communication Co.,Ltd	
3DSP Corp	
ASC X3 - INFORMATION TECHNOLOGY STANDARDS SECRETARIATS	
TELOGY NETWORKS, INC.	
Galvanic Ltd	
enblink	
Schneider Electric	施耐德电气
ICM Controls	
CNEX Labs	
COGENT DATA TECHNOLOGIES	
PARROT SA	
Microsoft Mobile Oy	微软移动
Fujian Newland Auto-ID Tech. Co,.Ltd.	福建新大陆自动识别技术有限公司
X-COM, Inc.	
Wi-Gear Inc.	
CMR KOREA CO., LTD	
RBH Access Technologies Inc.	
Accedian Networks	
Apani Networks	
Astera Technologies Corp.	
Ubizcore Co.,LTD	
Neosystem Co. Ltd.	
Chengdu Fuhuaxin Technology co.,Ltd	成都福华信科技有限公司
BITA	
Honeywell Fire System (Shanghai) Co,. Ltd.	
Evrisko Systems	
Transcon Electronic Systems, spol. s r. o.	
AREVA NP GmbH	法国电力公司
YAESU MUSEN CO., LTD.	
CARRIER ACCESS CORPORATION	
Traficon N.V.	
Patrol Tag, Inc	
Lawo AG	
uControl, Inc.	
MCM Systems Ltd	
Elan GmbH & Co KG	
Amplex A/S	
SHENZHEN MAXMADE TECHNOLOGY CO., LTD.	深圳市麦思美科技有限公司
Witron Technology Limited	伟超科技有限公司
YANG MEI TECHNOLOGY CO., LTD	
VIRTUAL ACCESS, LTD.	
Young Generation International Corp.	扬积国际科技股份有限公司
Step Ahead Innovations Inc.	
Radisys Corporation	
CMC Electronics Inc	
Beijing Duokan Technology Limited	北京多看科技有限公司
Gowell Electronic Limited	
ALTEC LANSING LLC	
Chengdu TD Tech Ltd.	鼎桥通信技术有限公司
Audiomatica Srl	
DATACOM TECHNOLOGIES	
Night Owl SP	
TrackR, Inc	
INET,INC.	
TOSHIBA MITSUBISHI-ELECTRIC INDUSTRIAL SYSTEMS CORPORATION	
Terberg besturingstechniek B.V.	
DiGATTO Asia Pacific Pte Ltd	
eflow Inc. / Smart Device Planning and Development Division	
ARUZE Corporation	阿魯傑
SYGN HOUSE CO.,LTD	
Sensaphone	
RADVision, Ltd.	
NOBLEX SA	
Russound	
Clavister AB	
Precepscion Pty. Ltd.	
TiMetra Networks	
Watlow	
Mecalc	
G-WAY Microwave	
RTX Telecom A/S	
DEVELCON ELECTRONICS LTD.	
KOUKAAM a.s.	
NetZerver Inc.	
MIP Telecom, Inc.	
Alloy Computer Products (Australia) Pty Ltd	
Juphoon System Software Inc.	
Quanta Network Systems Inc.	
ZF MICROSYSTEMS, INC.	
Embertec Pty Ltd	
Shenzhen Bus-Lan Technology Co., Ltd.	
BLOOMBERG L.P.	隆堡有限公司
SABER TECHNOLOGY CORP.	
Netpower Co., Ltd.	
VTLinx Multimedia Systems, Inc.	
Zhejiang KaNong Network Technology Co.,Ltd.	浙江卡农网络科技有限公司
Matsushita Avionics Systems Corporation	
Optimedical Systems	
Crescendo Networks	
Digital Acoustics, LLC	
PACKARD BELL ELEC., INC.	
OptXCon, Inc.	
Naeil Community	
commax Co., Ltd.	
Universal Devices Inc.	
DellKing Industrial Co., Ltd	深圳市德青科技有限公司公司
Infinite Technologies JLT	
MEDISON Xray Co., Ltd	
Vertex Standard LMR, Inc.	
VERSANET COMMUNICATIONS, INC.	
Olivetti	好利获得
Newtech Co.,Ltd	
COMPUWARE CORPORATION	
Corinex Communication Corp.	
IOI Technology Corporation	
SUHDOL E&C Co.Ltd.	
CRYPTO AG	
DONGWON SYSTEMS	
Cambridge Executive Limited	
Second Rule LLC	
CONVISION TECHNOLOGY GMBH	
PacketMotion, Inc.	
EKE Building Technology Systems Ltd	
Phybridge Inc	
TOKYO COSMOS ELECTRIC CO.,LTD.	
Gennet s.a.	
Arcturus Networks Inc.	
Taiwan Video & Monitor	台湾录霸股份有限公司
ORANGE MICRO, INC.	
RIDGE COMPUTERS	
SEAWING Kft	
ACTIA	
Kumoh Electronic Co, Ltd	
Kentrox, LLC	
bioMérieux Italia S.p.A.	
ShengHai Electronics (Shenzhen) Ltd	
Infiniswitch Corporation	
E-SYSTEMS, INC./GARLAND DIV.	
INRange Systems, Inc	
ELECTRON INDIA	
WindowMaster A/S	
Epec Oy	
TIW SYSTEMS	
Microsoft XCG	
Sipod Inc.	
Newbridge Technologies Int. Ltd.	
Telepower Communication Co., Ltd	
Vimar Spa	伟迈
NETWORK RESEARCH CORPORATION	
Sur-Gard Security	
fitivision technology Inc.	
LMS Skalar Instruments GmbH	
Voxpath Networks	
AKELA, Inc.	
OWIN Inc.	
PLAIN TREE SYSTEMS INC	
Kolff Computer Supplies b.v.	
KERNEL-I Co.,LTD	核林通信技术有限公司
WTSS Inc	
CONWISE Technology Corporation Ltd.	
Exavera Technologies, Inc.	
BMEYE B.V.	
daum electronic gmbh	
3COM EUROPE LTD	
The Linksys Group, Inc.	
Iteris, Inc.	
Origin ELECTRIC CO.,LTD.	
Lufft Mess- und Regeltechnik GmbH	
AMERICAN MEGATRENDS INC.	
ACKFIN NETWORKS	
ACT'L	
SCIMOLEX CORPORATION	
Furukawa Industrial S.A. Produtos Elétricos	
VILLBAU Ltd.	
REUDO CORPORATION	
QVidium Technologies, Inc.	
Shenzhen Guzidi Technology Co.,Ltd	
Space Shuttle Hi-Tech Co., Ltd.	
Shenzhen CZTIC Electronic Technology Co., Ltd	
Navetas Energy Management	
Pacific Broadband Networks	
Point Core SARL	
Grand Products Nevada, Inc.	
KeunYoung Electronics & Communication Co., Ltd.	
Widcomm, Inc.	
M2Mnet Co., Ltd.	
Edata Communication Inc.	
Emergent Electronics	
Deck Srl	
LanPro Inc	
1394 PRINTER WORKING GROUP	
SZCOM Broadband Network Technology Co.,Ltd	
Armorlink Co .Ltd	
Gigle Semiconductor	
PROCES-DATA A/S	
INDEL AG	
Arcadyan Technology Corporation	
Samsung Electronics Co., Ltd., Memory Division	
Finsécur	
Pi-Coral Inc	
JSC SDO Chromatec	
Key Stream Co., Ltd.	
QINGDAO GOERTEK ELECTRONICS CO.,LTD.	
LIMETEK	
NET2GRID BV	
BLUECOM	
Hangzhou Hikvision Digital Technology Co.,Ltd.	
CHENGDU XUGUANG TECHNOLOGY CO, LTD	
BATTISTONI RESEARCH	
Thinkengine Networks	
APATOR S.A.	
Digital Telecom Technology Limited	
Coup Corporation	
T-21 Technologies LLC	
MITSUYA LABORATORIES INC.	
ENGICAM s.r.l.	
Rigaku Corporation	
Cwlinux Limited	
NUCOM SYSTEMS, INC.	
BlueKorea Co., Ltd.	
ICE CORPORATION	
Vello Systems, Inc.	
CSUN System Technology Co.,LTD	
AIM GmbH	
DELORME	
Canadian Bank Note Company, Ltd.	
G2 NETWORKS, INC.	
Posh Mobile Limited	
Tianjin Deviser Electronics Instrument Co., Ltd	
SOLECTEK CORPORATION	
Sunitec Enterprise Co., Ltd.	
Canon Imaging Systems Inc.	
Widax Corp.	
Zhongtian broadband technology co., LTD	
Galil Motion Control	
Aipermon GmbH & Co. KG	
Caterpillar, Inc	
Cap Co., Ltd.	
KYOEI SANGYO CO., LTD.	
devolo AG	
GET Engineering	
LM Technologies Ltd	
Adonit Corp. Ltd.	
ASP Corporation	
ASB Technology BV	
DONGYANG TELECOM CO.,LTD.	
Systronix, Inc.	
YIK Corporation	
ALCATEL - SEL	
Netsnapper Technologies SARL	
Hamilton Systems	
Planet Networks	
UBIVELOX	
Lenovo	
EraThink Technologies Corp.	
Pannaway Technologies, Inc.	
DIGINICS, Inc.	
On-Ramp Wireless, Inc.	
Entis Co., Ltd.	
Airtech I&C Co., Ltd	
Hewlett Packard Enterprise	
ESA Elektroschaltanlagen Grimma GmbH	
Nureva, Inc.	
Qardio, Inc	
Siemens Com CPE Devices	
Danfoss A/S	
INVENTEC Corporation	
GERLOFF GESELLSCHAFT FUR	
Smartmatic Corporation	
Perfect tech	
NetEffect Incorporated	
SBC DESIGNS, INC.	
QUEST ENGINEERING & DEVELOPMENT	
Unicess Network, Inc.	
TOLEDO DO BRASIL INDUSTRIA DE BALANCAS  LTDA	
Roqos, Inc.	
Sitronics Telecom Solutions	
Ufine Technologies Co.,Ltd.	
Kyushu-kyohan co.,ltd	
Data Video Technologies Co., Ltd.	
Westermo Teleindustri AB	
Power Distribution, Inc.	
Chroma	
ITEC GmbH	
Kamama	
Rubezh	
MITEQ Inc.	
Tek-Air Systems, Inc.	
Hangzhou Sunyard System Engineering Co.,Ltd.	
MULTIPOINT NETWORKS	
Tellabs Inc.	
InpegVision Co., Ltd	
Cloud Engines, Inc.	
GLOBAL VIEW CO., LTD.	
Steinel GmbH	
CHECKOUT COMPUTER SYSTEMS, LTD	
SPINETIX SA	
OLICOM A/S	
Vodtel Communications, Inc.	
Rolls-Royce	
Timeware Ltd.	
TELDAT, S.A.	
Axion Technologies Inc.	
KINGMAX TECHNOLOGY, INC.	
VG Controls, Inc.	
Diebold, Inc.	
SensingTek	
Integrated Network Corporation	
Worldplay (Canada) Inc.	
SOTEC CO., LTD	
Pavilion Data Systems Inc	
Pharos Systems NZ	
TTTech Computertechnik AG	
Scan Engineering Telecom	
DAISY SYSTEMS CORP.	
congatec AG	
Amulet Hotkey	
Vamp Ltd.	
KDD-KOKUSAI DEBNSIN DENWA CO.	
Lava Computer Mfg., Inc.	
Thomas & Betts	
ADB Italia	
TV/COM INTERNATIONAL	
KUME electric Co.,Ltd.	
Woorigisool, Inc.	
Apex Tool Group GmbH & Co OHG	
eero inc.	
PROMATE ELECTRONIC CO.LTD	
Xcellen	
Hidea Solutions Co. Ltd.	
Tecmobile (International) Ltd.	
datacom systems inc.	
Bang and Olufsen Medicom a/s	
TerraTec Electronic GmbH	
IEEE PES PSRC/SUB	
Apollo Imaging Technologies, Inc.	
IneoQuest Technologies, Inc	
IPitomy Communications	
Nokia Siemens Networks GmbH & Co. KG.	
Ripcode, Inc.	
Suunto Oy	
Narayon. Co., Ltd.	
CARLO GAVAZZI CONTROLS SPA-Controls Division	
Lake Communications	
INTELLIGENT DEVICES INC. (IDI)	
DeTeWe-Deutsche Telephonwerke	
NComputing Co.,Ltd.	
Zonar Systems	
Beijing Ereneben Information Technology Co.,Ltd Shenzhen Branch	
Nanjing Bangzhong Electronic Commerce Limited	
Fujian Netcom Technology Co., LTD	
UNIVEX MICROTECHNOLOGY CORP.	
QLogic Corporation	
ELESYS INC.	
HONEYWELL-DATING	
ICG Research, Inc.	
TeleAdapt Ltd	
JMP Systems	
IMASDE CANARIAS, S.A.	
YICHEN (SHENZHEN) TECHNOLOGY CO.LTD	
Alcohol Monitoring Systems	
Audyssey Laboratories Inc.	
XESystems, Inc.	
SRT Wireless	
WOXTER TECHNOLOGY Co. Ltd	
Gizmondo Europe Ltd	
S Mobile Devices Limited	
Zetari Inc.	
SONICblue, Inc.	
CACTUS COMPUTER INC.	
Brocade Communications Systems, Inc.	
Weifang GoerTek Technology Co.,Ltd.	
NETWORK PRODUCTS	
ValuePoint Networks	
WORLDSAT - Texas de France	
Tall Maple Systems	
SBC ASI	
Glen Dimplex Nordic as	
SHENZHEN KTC TECHNOLOGY GROUP	
SIEMENS TELECOMMUNICATION SYSTEMS LIMITED	
Teledyne LeCroy, Inc	
S.D.E.L.	
AVM Audiovisuelles Marketing und Computersysteme GmbH	
Helvetia INC.	
Ilryung Telesys, Inc	
HEINESYS, Inc.	
Copley Controls Corporation	
Shenzhen Minicreate Technology Co.,Ltd	
Jeelan (Shanghai Jeelan Technology Information Inc	
Setha Industria Eletronica LTDA	
ComWorth Co., Ltd.	
MIDDLE EAST TECH. UNIVERSITY	
TELECOMMUNICATIONS TECHNIQUES	
SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.	
Emicon	
Oticon A/S	
RELIA TECHNOLGIES	
Wintec Industries, inc.	
Razorstream, LLC	
Realease Limited	
EGAN MACHINERY COMPANY	
Nanometrics Inc.	
SYSGRATION Ltd.	
Shenzhen Kootion Technology Co., Ltd	
Reduxio Systems	
Sony Corporation	
KUKA WELDING SYSTEMS & ROBOTS	
M2Communication Inc.	
PC Engines GmbH	
Newtek Electronics co., Ltd.	
BLUSENS TECHNOLOGY	
Online Development Inc	
DATA RECALL LTD.	
Zhehua technology limited	
Zhone Technologies	
EAGET Innovation and Technology Co., Ltd.	
ELPRO Technologies	
Quantel Ltd	
TITZE DATENTECHNIK GmbH	
Microwave Data Systems Inc.	
Reutech Radar Systems (PTY) Ltd	
IPFRONT Inc	
Blatand GmbH	
Cidra Corp.	
Syabas Technology (Amquest)	
NAVIELEKTRO KY	
Hitek Automated Inc.	
Uni-v co.,ltd	
Beijing Gefei Tech. Co., Ltd	
CENTURY OPTICOMM CO.,LTD	
DASAN TPS	
Intelligent Systems	
ALTEON NETWORKS, INC.	
LookX Digital Media BV	
INFOMARK CO.,LTD.	
Senselogix Ltd	
Cameronet GmbH & Co. KG	
NASCENT Technology, LLC - RemKon	
Infinix mobility limited	
Vivalnk	
Shenzhen Super Rich Electronics Co.,Ltd	
Casacom Solutions AG	
Shenzhen Hexicom Technology Co., Ltd.	
Keumbee Electronics Co.,Ltd.	
SHANGHAI SURVEILLANCE TECHNOLOGY CO,LTD	
TECC CO.,LTD.	
MAGNETI MARELLI SISTEMAS ELECTRONICOS MEXICO	
H&D Wireless	
WIN Enterprises, Inc.	
AVOLITES LTD.	
Futuretel	
Sennheiser electronic GmbH & Co. KG	
PePWave Ltd	
Positron Access Solutions Corp	
MIURA CO.,LTD	
CORVIS CORPORATION	
Aplicaciones Electronicas Quasar (AEQ)	
LINX Data Terminals, Inc.	
Videon Central, Inc.	
Control Express Finland Oy	
GILAT COMMUNICATIONS, LTD.	
Hunan Topview Network System CO.,LTD	
KongTop industrial(shen zhen)CO.,LTD	
SYSTECH COMPUTER CORP.	
Sollae Systems Co., Ltd.	
INTEGRATED BUSINESS NETWORKS	
SHINSEI ELECTRONICS CO LTD	
SITCORP	
New Singularity International Technical Development Co.,Ltd	
SMK-M	
Wongs Electronics Co. Ltd.	
Geyser Networks, Inc.	
SEnergy Corporation	
Santa Barbara Infrared, Inc.	
Data Controls Inc.	
AdvancedIO Systems Inc	
JIANGXI JINGGANGSHAN CKING COMMUNICATION TECHNOLOGY CO.,LTD	
Input/Output, Inc.	
ProCurve Networking by HP	
IP.Access Limited	
China Gridcom Co., Ltd	
Chung Nam Electronic Co., Ltd.	
Pi-Coral	
MAXPEED	
Mykotronx	
Demco Corp.	
EasyIO Corporation Sdn. Bhd.	
The Boeing Company	
XINHUA CONTROL ENGINEERING CO.,LTD	
Emfit Ltd	
GFR Gesellschaft für Regelungstechnik und Energieeinsparung mbH	
Rockport Networks Inc	
EMK Elektronik GmbH & Co. KG	
NorthStar Battery Company, LLC	
Pepperl+Fuchs GmbH	
Maike Industry(Shenzhen)CO.,LTD	
HAMAMATSU TOA ELECTRONICS	
CRISP AUTOMATION, INC	
Advanced PANMOBIL Systems GmbH & Co. KG	
ASTECH INC.	
New Focus, Inc.	
Hifn, Inc.	
KYOWA Electronic Instruments C	
Perception Digital Ltd	
Televideo, Inc.	
MORNING STAR TECHNOLOGIES, INC	
EAGLE WORLD DEVELOPMENT CO., LIMITED	
Sychip Inc.	
Nippon Systems Development Co., Ltd.	
Edimax Technology Co. Ltd.	
ZIV	
ADRA SYSTEMS INC.	
AdvanSys	
PCI CORPORATION	
UNICOMPUTER GMBH	
Ikanos Communications	
COMPUTROLS INC.	
Ad-Sol Nissin Corp	
CABLE TELEVISION LABORATORIES, INC.	
SHINBORAM	
Dynamic Solutions Co,.Ltd.	
ISis ImageStream Internet Solutions, Inc	
Axilspot Communication	
Brady Corp Asia Pacific Ltd	
Nikko Denki Tsushin Corporation(NDTC)	
SCI Systems (Kunshan) Co., Ltd.	
ADAPTIVE SYSTEMS, INC.	
Hammerhead Systems, Inc.	
Elitegroup Computer Systems Co.,Ltd.	
Teseq AG	
BRAND COMMUNICATIONS, LTD.	
Aisai Communication Technology Co., Ltd.	
EASY3CALL Technology Limited	
Leonton Technologies	
Yaojin Technology(Shenzhen)Co.,Ltd	
Veritech Electronics Limited	
Radiance Technologies, Inc.	
VeloCloud Networks	
Anova Applied Electronics, Inc.	
CETRTA POT, d.o.o., Kranj	
COSINE COMMUNICATIONS	
SpaceBridge Semiconductor Corp.	
zte corporation	
Petards Ltd	
SetOne GmbH	
Grandeye Ltd	
FASTWEL INTERNATIONAL CO., LTD. Taiwan Branch	
GLOBAL NET INFORMATION CO., Ltd.	
Hitachi Maxell, Ltd., Optronics Division	
ScottCare Corporation	
Scanvaegt International A/S	
Viking Electronics Inc.	
MITSUBISHI CABLE COMPANY	
Vida Design Co.	
Redpine Signals, Inc.	
CLCsoft co.	
PARADYNE CORP.	
Objenious	
Corsa Technology Incorporated	
RAGULA SYSTEMS	
Linkwise Technology Pte Ltd	
ProQuent Systems	
Internet Information Image Inc.	
GLITEL Stropkov, s.r.o.	
Nuki Home Solutions GmbH	
Airbus Defence and Space Deutschland GmbH	
Tsurusaki Sealand Transportation Co. Ltd.	
DongYang Telecom Co., Ltd.	
LANVOICE	
GALCOM NETWORKING LTD.	
PAL Pacific Inc.	
Nokia Corporation	
KAIMEI ELECTRONI	
MICROFIVE CORPORATION	
J1 SYSTEMS, INC.	
Taelim Electronics Co., Ltd.	
Sorenson Communications	
MTT Corporation	
Beijing MDC Telecom	
IRIS TECHNOLOGIES, INC.	
EverFocus Electronics Corp.	
DIGI-DATA CORPORATION	
Upponetti Oy	
Poslab Technology Co., Ltd.	
Invento Networks, Inc.	
SSOMA SECURITY	
TransPacket AS	
CommerceGuard AB	
Osaki Electric Co., Ltd.	
Snap-on OEM Group	
Minet, Inc.	
CDOUBLES ELECTRONICS CO. LTD.	
Entrypass Corporation Sdn. Bhd.	
SUPERCOM TECHNOLOGY CORPORATION	
Real Vision Technology Co.,Ltd.	
SofaWare Technologies Ltd.	
Shenzhen Wonhe Technology Co., Ltd	
TRITEC ELECTRONIC GMBH	
CROSS MATCH TECHNOLOGIES, INC.	
BAXALL SECURITY LTD.	
Handaer Communication Technology (Beijing) Co., Ltd	
SST Taiwan Ltd.	
Metamako	
Condev Ltd.	
SODICK CO., LTD.	
Primex Wireless	
WyTec International, Inc.	
Alpha  Technologies Inc.	
TES ELECTRONIC SOLUTIONS	
VIDEX INC.	
NetKlass Technology Inc.	
XLN-t	
INFORMATION RESOURCE ENGINEERING	
SUNDANCE TECHNOLOGY, INC.	
C.O.B.O. SPA	
TLS Corporation	
ERGO COMPUTING	
RSF	
ALLIED TELESIS, K.K.	
Jantar d.o.o.	
Casio Hitachi Mobile Communications Co., Ltd.	
DIGICOM SYSTEMS, INCORPORATED	
Budelmann Elektronik GmbH	
SHANDONG KAER ELECTRIC.CO.,LTD	
Trek Diagnostics Inc.	
OPTEX CO.,LTD.	
SHENZHEN TW-SCIE Co., Ltd	
Tensun Information Technology(Hangzhou) Co.,LTD	
All Earth Comércio de Eletrônicos LTDA.	
Phasys Ltd.	
INOVA CORPORATION	
PMC	
AgLogica Holdings, Inc	
ELMEX Co., LTD.	
Netcom Co., Ltd.	
Ascent Communication Technology	
BLU CASTLE S.A.	
Confidant International LLC	
Technical Marketing Research, Inc.	
HAO CHENG GROUP LIMITED	
Googol Technology (HK) Limited	
BOBST SA	
National Narrowband Network Communications Pty Ltd	
Stolinx,. Inc	
Proximus	
Asia Optical Co., Inc.	
Metrascale Inc.	
Vacon Plc	
Dominion Lasercom Inc.	
Action Target, Inc.	
KeyEye Communications	
NexGen City, LP	
Technical Support, Inc.	
Missouri FreeNet	
Phytec Messtechnik GmbH	
TOKYO DENSHI SEKEI CO.	
APPLIED DIGITAL ACCESS	
Solutions Radio BV	
Sistemas Avanzados de Control, S.A.	
Geberit International AG	
Hitech Electronics Corp.	
Advanced Automotive Antennas	
Oculus VR, LLC	
AXEL	
Double-Win Enterpirse CO., LTD	
HONG TECHNOLOGIES	
Calrec Audio Ltd	
ZPM Industria e Comercio Ltda	
